"Id","IsDeleted","MasterRecordId","Name","Type","ParentId","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","BillingLatitude","BillingLongitude","BillingGeocodeAccuracy","ShippingStreet","ShippingCity","ShippingState","ShippingPostalCode","ShippingCountry","ShippingLatitude","ShippingLongitude","ShippingGeocodeAccuracy","Phone","Fax","AccountNumber","Website","PhotoUrl","Sic","Industry","AnnualRevenue","NumberOfEmployees","Ownership","TickerSymbol","Description","Rating","Site","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Jigsaw","JigsawCompanyId","CleanStatus","AccountSource","DunsNumber","Tradestyle","NaicsCode","NaicsDesc","YearStarted","SicDesc","DandbCompanyId","OperatingHoursId","CustomerPriority__c","SLA__c","Active__c","NumberofLocations__c","UpsellOpportunity__c","SLASerialNumber__c","SLAExpirationDate__c","OriginId__c","Status_pkl__c","TestRestore__c","TestRestore_del__c"
"0017Q00000r5hdPQAQ","0","","Exemple de comptes pour les autorisations ABC","","","","","","","","","","","","","","","","","","","null9999","","","","/services/images/photo/0017Q00000r5hdPQAQ","","Energy","","","","","","","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-04-10T12:33:55.000+0000","0057Q000002bD1gQAE","2025-04-10T12:33:55.000+0000","","2025-05-14T14:53:09.000+0000","2025-05-14T14:53:09.000+0000","","","Pending","","","","","","","","","","","","","","","","","0017Q000001y0C8QAI","Cold","",""
"0017Q00000r5hGoQAI","0","","Grand Hotels & Resorts Ltd","Customer - Direct","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Chicago","KS","","","","","","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","/services/images/photo/0017Q00000r5hGoQAI","2268","Hospitality","500000000","5600","Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","High","Gold","Yes","57","Yes","5572","2022-08-08","0017Q000006TUqzQAG","Hot","",""
"0017Q00000r5hGqQAI","0","","Dickenson plc xxx","Customer - Direct","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","(785) 241-6200","(785) 241-6222","CC634267","dickenson-consulting.com","/services/images/photo/0017Q00000r5hGqQAI","6752","Consulting","50000000","120","Private","","","","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","Low","Bronze","Yes","2","No","7425","2022-08-08","0017Q000006TUqyQAG","Medium","",""
"0017Q00000r5hdKQAQ","0","","Burlington Textiles Corp of America","Customer - Direct","","525 S. Lexington Ave","Burlington","NC","27215","USA","","","","","","","","","","","","(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","/services/images/photo/0017Q00000r5hdKQAQ","546732","Apparel","350000000","9000","Public","BTXT","","Warm","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","","Silver","","6","Maybe","5367","2022-02-05","0017Q000006TUqwQAG","Cold","",""
"0017Q00000r5hdLQAQ","0","","United Oil & Gas, UK","Customer - Direct","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","UK","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","","","","","","","+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","/services/images/photo/0017Q00000r5hdLQAQ","4437","Energy","","24000","Public","UOS","","","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","High","Platinum","Yes","34","No","3479","2022-02-05","0017Q000006TUr3QAG","Cold","",""
"0017Q00000r5hdNQAQ","0","","Express Logistics and Transport","Customer - Channel","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Portland","OR","","","","","","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","","","","","","","","(503) 421-7800","(503) 421-7801","CC947211","www.expressl&t.net","/services/images/photo/0017Q00000r5hdNQAQ","8742","Transportation","950000000","12300","Public","EXLT","Commerical logistics and transportation company.","Cold","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","Medium","Platinum","Yes","150","Maybe","4724","2022-08-08","0017Q000006eSpLQAU","Cold","",""
"0017Q00000r5hdOQAQ","0","","University of Arizona","Customer - Direct","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Tucson","AZ","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","","","","","","","","(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","/services/images/photo/0017Q00000r5hdOQAQ","7321","Education","","39000","Other","","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:43:24.000+0000","2025-06-26T08:43:24.000+0000","","","Pending","","","","","","","","","","Medium","Gold","Yes","3","Yes","8350","2022-02-05","0017Q000006TUr2QAG","Hot","",""
"0017Q00000r5hGpQAI","0","","United Oil & Gas Corp.","Customer - Direct","","1301 Avenue of the Americas 
New York, NY 10019
USA","New York","NY","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","","","","","","","","(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","/services/images/photo/0017Q00000r5hGpQAI","4437","Energy","5600000000","145000","Public","UOS","World's third largest oil and gas company.","Hot","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:44:05.000+0000","2025-06-26T08:44:05.000+0000","","","Pending","","","","","","","","","","High","Platinum","Yes","955","Yes","6654","2022-08-08","0017Q000006TUr0QAG","Cold","",""
"0017Q00000r5hdJQAQ","0","","United Oil & Gas, Singapore","Customer - Direct","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","Singapore","Singapore","","","","","","9 Tagore Lane
Singapore, Singapore 787472
Singapore","","","","","","","","(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","/services/images/photo/0017Q00000r5hdJQAQ","4437","Energy","","3000","Public","UOS","","","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-06-26T08:46:25.000+0000","2025-06-26T08:46:25.000+0000","","","Pending","","","","","","","","","","High","Platinum","Yes","6","Maybe","2457","2022-08-08","0017Q000006TUr4QAG","Medium","",""
"0017Q00000r5hdMQAQ","0","","Edge Communications","Customer - Direct","","312 Constitution Place
Austin, TX 78767
USA","Austin","TX","","","","","","312 Constitution Place
Austin, TX 78767
USA","","","","","","","","(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","/services/images/photo/0017Q00000r5hdMQAQ","6576","Electronics","139000000","1000","Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot","","0057Q000002bD1gQAE","2023-03-03T10:48:06.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","0057Q000002bD1gQAE","2025-07-02T12:34:36.000+0000","","2025-07-02T12:29:31.000+0000","2025-07-02T12:29:31.000+0000","","","Pending","","","","","","","","","","Medium","Silver","Yes","2","Maybe","2657","2022-02-05","0017Q000006TUqvQAG","Cold","",""
